month;cpv_division;division_name;tender_count
2025-05;37;Sprzęt sportowy i rekreacyjny;43
2025-05;43;Maszyny górnicze;41
2025-05;64;Usługi pocztowe i telekomunikacyjne;37
2025-05;22;Drukowane materiały i produkty poligraficzne;36
2025-05;98;Pozostałe usługi komunalne i osobiste;36
2025-05;73;Usługi badawczo-rozwojowe;19
2025-05;75;Usługi administracji publicznej;14
2025-05;92;Usługi rekreacyjne i kulturalne;13
2025-05;70;Usługi w zakresie nieruchomości;12
2025-05;51;Usługi instalacyjne;11
2025-05;19;Wyroby skórzane i tekstylne;9
2025-05;41;Woda i usługi wodne;3
2025-05;65;Usługi komunalne (gaz, woda, energia);3
2025-06;45;Roboty budowlane;3567
2025-06;71;Usługi architektoniczne i inżynieryjne;710
2025-06;33;Sprzęt medyczny i farmaceutyczny;698
2025-06;39;Meble i wyposażenie wnętrz;392
2025-06;15;Artykuły spożywcze i napoje;366
2025-06;34;Sprzęt transportowy i pojazdy;340
2025-06;30;Sprzęt komputerowy i biurowy;275
2025-06;55;Usługi hotelarskie i restauracyjne;252
2025-06;60;Usługi transportu drogowego;252
2025-06;79;Usługi biznesowe i doradcze;237
2025-06;90;Usługi środowiskowe i sanitarne;230
2025-06;80;Usługi edukacyjne;225
2025-06;48;Pakiety oprogramowania;224
2025-06;50;Usługi napraw i konserwacji;171
2025-06;38;Sprzęt laboratoryjny i naukowy;153
2025-06;9;Produkty naftowe, paliwa i energia;152
2025-06;85;Usługi zdrowotne i społeczne;131
2025-06;66;Usługi finansowe i ubezpieczeniowe;115
2025-06;32;Sprzęt elektroniczny i telekomunikacyjny;106
2025-06;31;Sprzęt elektryczny;104
2025-06;72;Usługi informatyczne;97
2025-06;42;Maszyny przemysłowe;92
2025-06;44;Materiały budowlane;92
2025-06;77;Usługi rolnicze i leśne;70
2025-06;3;Produkty rolne, łowieckie i rybne;61
2025-06;18;Odzież i obuwie;50
2025-06;37;Sprzęt sportowy i rekreacyjny;50
2025-06;64;Usługi pocztowe i telekomunikacyjne;50
2025-06;24;Produkty chemiczne;48
2025-06;63;Usługi spedycji i logistyki;43
2025-06;98;Pozostałe usługi komunalne i osobiste;43
2025-06;92;Usługi rekreacyjne i kulturalne;41
2025-06;35;Sprzęt bezpieczeństwa i ochrony;40
2025-06;14;Górnictwo i minerały;37
2025-06;22;Drukowane materiały i produkty poligraficzne;36
2025-06;43;Maszyny górnicze;34
2025-06;16;Maszyny rolnicze;32
2025-06;70;Usługi w zakresie nieruchomości;18
2025-06;73;Usługi badawczo-rozwojowe;12
2025-06;51;Usługi instalacyjne;8
2025-06;75;Usługi administracji publicznej;8
2025-06;19;Wyroby skórzane i tekstylne;6
2025-06;65;Usługi komunalne (gaz, woda, energia);2
2025-07;45;Roboty budowlane;4175
2025-07;71;Usługi architektoniczne i inżynieryjne;830
2025-07;33;Sprzęt medyczny i farmaceutyczny;735
2025-07;60;Usługi transportu drogowego;664
2025-07;34;Sprzęt transportowy i pojazdy;473
2025-07;39;Meble i wyposażenie wnętrz;442
2025-07;15;Artykuły spożywcze i napoje;389
2025-07;30;Sprzęt komputerowy i biurowy;364
2025-07;55;Usługi hotelarskie i restauracyjne;326
2025-07;79;Usługi biznesowe i doradcze;293
2025-07;80;Usługi edukacyjne;269
2025-07;48;Pakiety oprogramowania;262
2025-07;90;Usługi środowiskowe i sanitarne;255
2025-07;38;Sprzęt laboratoryjny i naukowy;206
2025-07;9;Produkty naftowe, paliwa i energia;192
2025-07;50;Usługi napraw i konserwacji;191
2025-07;32;Sprzęt elektroniczny i telekomunikacyjny;133
2025-07;44;Materiały budowlane;125
2025-07;85;Usługi zdrowotne i społeczne;125
2025-07;72;Usługi informatyczne;118
2025-07;42;Maszyny przemysłowe;103
2025-07;31;Sprzęt elektryczny;100
2025-07;66;Usługi finansowe i ubezpieczeniowe;86
2025-07;37;Sprzęt sportowy i rekreacyjny;73
2025-07;77;Usługi rolnicze i leśne;67
2025-07;43;Maszyny górnicze;65
2025-07;24;Produkty chemiczne;57
2025-07;63;Usługi spedycji i logistyki;57
2025-07;35;Sprzęt bezpieczeństwa i ochrony;45
2025-07;22;Drukowane materiały i produkty poligraficzne;43
2025-07;3;Produkty rolne, łowieckie i rybne;40
2025-07;16;Maszyny rolnicze;39
2025-07;18;Odzież i obuwie;38
2025-07;98;Pozostałe usługi komunalne i osobiste;36
2025-07;64;Usługi pocztowe i telekomunikacyjne;33
2025-07;92;Usługi rekreacyjne i kulturalne;32
2025-07;14;Górnictwo i minerały;30
2025-07;73;Usługi badawczo-rozwojowe;29
2025-07;51;Usługi instalacyjne;12
2025-07;75;Usługi administracji publicznej;11
2025-07;70;Usługi w zakresie nieruchomości;9
2025-07;19;Wyroby skórzane i tekstylne;6
2025-07;65;Usługi komunalne (gaz, woda, energia);4
2025-07;41;Woda i usługi wodne;3
2025-08;45;Roboty budowlane;3190
2025-08;33;Sprzęt medyczny i farmaceutyczny;622
2025-08;71;Usługi architektoniczne i inżynieryjne;550
2025-08;34;Sprzęt transportowy i pojazdy;533
2025-08;39;Meble i wyposażenie wnętrz;370
2025-08;30;Sprzęt komputerowy i biurowy;293
2025-08;55;Usługi hotelarskie i restauracyjne;268
2025-08;80;Usługi edukacyjne;262
2025-08;60;Usługi transportu drogowego;228
2025-08;15;Artykuły spożywcze i napoje;211
2025-08;79;Usługi biznesowe i doradcze;200
2025-08;48;Pakiety oprogramowania;182
2025-08;9;Produkty naftowe, paliwa i energia;181
2025-08;90;Usługi środowiskowe i sanitarne;181
2025-08;50;Usługi napraw i konserwacji;145
2025-08;38;Sprzęt laboratoryjny i naukowy;142
2025-08;32;Sprzęt elektroniczny i telekomunikacyjny;118
2025-08;85;Usługi zdrowotne i społeczne;103
2025-08;31;Sprzęt elektryczny;100
2025-08;72;Usługi informatyczne;98
2025-08;66;Usługi finansowe i ubezpieczeniowe;88
2025-08;42;Maszyny przemysłowe;81
2025-08;77;Usługi rolnicze i leśne;75
2025-08;35;Sprzęt bezpieczeństwa i ochrony;74
2025-08;37;Sprzęt sportowy i rekreacyjny;70
2025-08;44;Materiały budowlane;66
2025-08;18;Odzież i obuwie;64
